cod_cidade,cidade,uf,loggi,dits_caj,populucao,area,malha_aerea
3550308,São Paulo (SP),SP,1,0,12105804,1522.986,1
3304557,Rio de Janeiro (RJ),RJ,1,444,6519400,1182.296,1
5300108,Brasília (DF),DF,1,1003,3039444,5801.937,1
2927408,Salvador (BA),BA,1,1973,2953716,706.799,1
2304400,Fortaleza (CE),CE,1,2928.000994,2627745,313.14,1
3106200,Belo Horizonte (MG),MG,1,591.212,2523469,330.954,1
1302603,Manaus (AM),AM,1,3900.000715,2130330,11401.058,1
4106902,Curitiba (PR),PR,1,410,1908330,434.967,1
2611606,Recife (PE),PE,1,2655.00049,1633588,217.494,1
4314902,Porto Alegre (RS),RS,1,1107,1484863,496.827,1
5208707,Goiânia (GO),GO,1,960,1465990,739.492,1
1501402,Belém (PA),PA,0,2859.000436,1451439,1064.918,1
3518800,Guarulhos (SP),SP,0,21.495,1349158,318.014,1
3509502,Campinas (SP),SP,1,91.251,1182410,795.697,1
2111300,São Luís (MA),MA,0,2905.000239,1091347,827.141,1
3304904,São Gonçalo (RJ),RJ,0,461.939,1049793,249.142,0
2704302,Maceió (AL),AL,0,2423.000245,1029166,510.655,1
3301702,Duque de Caxias (RJ),RJ,0,426.283,890890,464.573,0
2408102,Natal (RN),RN,0,2947.0009,885077,170.298,1
5002704,Campo Grande (MS),MS,0,993.838,874184,8096.051,1
2211001,Teresina (PI),PI,0,2686.000729,850083,1670.798,1
3548708,São Bernardo do Campo (SP),SP,0,18.733,827379,406.18,0
2507507,João Pessoa (PB),PB,0,2773.000992,811847,210.551,1
3303500,Nova Iguaçu (RJ),RJ,0,405.054,787296,523.888,0
3547809,Santo André (SP),SP,0,20.571,715112,174.84,0
3549904,São José dos Campos (SP),SP,1,89.383,703284,1099.613,0
3534401,Osasco (SP),SP,0,25.545,697743,64.935,0
2607901,Jaboatão dos Guararapes (PE),PE,0,2635.000335,695978,256.073,0
3543402,Ribeirão Preto (SP),SP,1,317.627,682408,650.366,1
3170206,Uberlândia (MG),MG,0,567,676815,4115.822,1
3552205,Sorocaba (SP),SP,0,104.948,659961,449.122,0
3118601,Contagem (MG),MG,0,570.594,658632,194.586,0
2800308,Aracaju (SE),SE,0,2168.000644,650200,174.053,1
2910800,Feira de Santana (BA),BA,0,1857.000341,627478,1362.88,1
5103403,Cuiabá (MT),MT,0,1527.000113,589902,3538.167,1
4209102,Joinville (SC),SC,0,522.395,577024,1125.7,1
3136702,Juiz de Fora (MG),MG,0,514.214,563816,1436.85,1
4113700,Londrina (PR),PR,0,537.382,558461,1650.809,1
5201405,Aparecida de Goiânia (GO),GO,0,883.866,542258,288.465,0
1100205,Porto Velho (RO),RO,0,3013.000203,519563,34082.366,1
1500800,Ananindeua (PA),PA,0,2842.000467,515927,185.057,0
3300456,Belford Roxo (RJ),RJ,0,412.345,507373,79.791,0
3205002,Serra (ES),ES,0,981.958,502782,553.254,0
3303302,Niterói (RJ),RJ,0,452.263,498941,129.375,0
3301009,Campos dos Goytacazes (RJ),RJ,0,709.348,490294,4031.91,0
3205200,Vila Velha (ES),ES,0,950.032,486457,208.82,0
4205407,Florianópolis (SC),SC,0,696.236,485865,433.317,1
4305108,Caxias do Sul (RS),RS,0,983.048,483555,1643.913,1
1600303,Macapá (AP),AP,0,3402,474699,6407.123,0
3529401,Mauá (SP),SP,0,26.415,462029,62.293,0
